序号[l][#]	道具名称[l][#]	描述[l]	短描述	使用和产出说明	作用效果[l]	每日限制使用次数[l]	道具类型，根据效果分类[l][#]	转生次数[l]	使用等级[l]	使用者类型[l]	职业限制	物品等级[l]	出售价格[l]	道具品质[l][#]	道具图标[l]	掉落图标[l][#]	叠加上限[l]	无法丢弃摧毁(0可以、1不可以)[l]	有效时间（单位分钟）[l]	是否广播[l]	广播id	界面显示道具品质[l]	是否掉落公告	是否可使用[l]	英雄使用等级	神龙遗迹内是否可使用[l]（0是可以，1是不可以）	掉落特效[#]	红点特效[l]	排序(从大到小)	获得后自动使用[l]	背包类型（0普通1印记）[l]
id	name	desc	desc_short	use_method	effect	use_num	type	reincarn	level	entity	job	item_level	sell_value	quality	icon	drop_icon	overlay	no_drop	expire	isbroadcast	broadcastid	interface_quality	drop_notice	is_use	hero_level	shenlong_is_use	drop_light	effect_point	sort	auto_use	bag
1	经验	#bfbfbf|【经验】|n|#bfbfbf|增加角色经验值，获得经验可以提升|#00ff00|角色等级|n|#4ba0de|【激情泡点、野外打怪、分解装备】			1	0	1	0	0	0	0	0	0	1	jy	jy	1	0	0	0	0	1	0	0	0	0	0	0	19999	0	0
2	英雄经验	#bfbfbf|【经验】|n|#bfbfbf|增加英雄经验值，获得经验可以提升|#00ff00|英雄等级|n|#4ba0de|【激情泡点、野外打怪、分解装备】			1	0	2	0	0	0	0	0	0	1	herojy	herojy	1	0	0	0	0	1	0	0	0	0	0	0	19998	0	0
3	元宝	#bfbfbf|【货币】|n|#bfbfbf|增加元宝，是游戏中使用最多的货币|n|#4ba0de|【野外打怪】			1	0	3	0	0	0	0	0	0	1	004203	004203	1	0	0	0	0	1	0	0	0	0	0	0	19997	0	0
4	绑定元宝	#bfbfbf|【货币】|n|#bfbfbf|增加绑定元宝，是游戏中使用最多的货币|n|#4ba0de|【野外打怪、回收、每日活动、升级连击】			1	0	4	0	0	0	0	0	0	1	004204	004204	1	0	0	0	0	1	0	0	0	0	0	0	19996	0	0
5	灵符	#bfbfbf|【货币】|n|#bfbfbf|充值获得，可在商城中购买道具，|#00ff00|1元=100灵符|n|#4ba0de|【充值】			1	0	5	0	0	0	0	0	0	6	004202	004202	1	0	0	0	0	6	0	0	0	0	0	0	19995	0	0
6	内功	#bfbfbf|增加人物内功值			1	0	6	0	0	0	0	0	0	1	ng	ng	1	0	0	0	0	1	0	0	0	0	0	0	19994	0	0
7	英雄内功	#bfbfbf|增加英雄内功值			1	0	7	0	0	0	0	0	0	1	ng	ng	1	0	0	0	0	1	0	0	0	0	0	0	19993	0	0
8	点券	#bfbfbf|增加点券，可用于商城|#00ff00|兑换灵符|#bfbfbf|，兑换比例1:1|n|#4ba0de|【充值】			1	0	8	0	0	0	0	0	0	1	dq	dq	1	0	0	0	0	1	0	0	0	0	0	0	19992	0	0
9	点券	#bfbfbf|增加点券，可用于商城|#00ff00|兑换灵符|#bfbfbf|，兑换比例1:1|n|#4ba0de|【充值】			1	0	9	0	0	0	0	0	0	1	dq	dq	1	0	0	0	0	1	0	0	0	0	0	0	19991	0	0
